instance,variant_id,phase,sensor,law,operators,depth,op_mgmt,lz_window,band_lo,band_hi,init_tour,acceptance,best_length,known_optimal,gap_pct,wall_time,total_moves,best_at_move,L_opis,L_residual,L_total,rank
dj38,P1_baseline,P1_baseline,LZ_binary,BB,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,267,5,0,0.0,0.0,
dj38,P2_LZ_binary_BB,P2_sweep,LZ_binary,BB,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,298,6,0,0.0,0.0,
dj38,P2_LZ_binary_ADSR,P2_sweep,LZ_binary,ADSR,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,270,4,0,0.0,0.0,
dj38,P2_LZ_binary_EMA,P2_sweep,LZ_binary,EMA,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,268,1,5,0.0,5.0,
dj38,P2_LZ_binary_PI,P2_sweep,LZ_binary,PI,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,391,9,10,0.0,10.0,
dj38,P2_LZ_binary_CDPID,P2_sweep,LZ_binary,CDPID,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,296,24,5,0.0,5.0,
dj38,P2_LZ_binary_BB_invert,P2_sweep,LZ_binary,BB_invert,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,272,7,1,0.0,1.0,
dj38,P2_LZ_dual_BB,P2_sweep,LZ_dual,BB,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,278,7,1,0.0,1.0,
dj38,P2_LZ_dual_ADSR,P2_sweep,LZ_dual,ADSR,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,282,2,1,0.0,1.0,
dj38,P2_LZ_dual_EMA,P2_sweep,LZ_dual,EMA,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,293,15,6,0.0,6.0,
dj38,P2_LZ_dual_PI,P2_sweep,LZ_dual,PI,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,342,8,11,0.0,11.0,
dj38,P2_LZ_dual_CDPID,P2_sweep,LZ_dual,CDPID,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,285,1,6,0.0,6.0,
dj38,P2_LZ_dual_BB_invert,P2_sweep,LZ_dual,BB_invert,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,287,11,2,0.0,2.0,
dj38,P2_LZ_tour_BB,P2_sweep,LZ_tour,BB,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,272,7,2,0.0,2.0,
dj38,P2_LZ_tour_ADSR,P2_sweep,LZ_tour,ADSR,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,262,5,2,0.0,2.0,
dj38,P2_LZ_tour_EMA,P2_sweep,LZ_tour,EMA,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,278,3,7,0.0,7.0,
dj38,P2_LZ_tour_PI,P2_sweep,LZ_tour,PI,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,350,1,12,0.0,12.0,
dj38,P2_LZ_tour_CDPID,P2_sweep,LZ_tour,CDPID,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,286,2,7,0.0,7.0,
dj38,P2_LZ_tour_BB_invert,P2_sweep,LZ_tour,BB_invert,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,274,1,3,0.0,3.0,
dj38,P2_LZ_per_op_BB,P2_sweep,LZ_per_op,BB,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,267,17,3,0.0,3.0,
dj38,P2_LZ_per_op_ADSR,P2_sweep,LZ_per_op,ADSR,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,279,12,3,0.0,3.0,
dj38,P2_LZ_per_op_EMA,P2_sweep,LZ_per_op,EMA,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,272,1,8,0.0,8.0,
dj38,P2_LZ_per_op_PI,P2_sweep,LZ_per_op,PI,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,377,1,13,0.0,13.0,
dj38,P2_LZ_per_op_CDPID,P2_sweep,LZ_per_op,CDPID,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,289,6,8,0.0,8.0,
dj38,P2_LZ_per_op_BB_invert,P2_sweep,LZ_per_op,BB_invert,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,287,3,4,0.0,4.0,
dj38,P2_SampEn_BB,P2_sweep,SampEn,BB,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,200,4,10,0.0,10.0,
dj38,P2_SampEn_ADSR,P2_sweep,SampEn,ADSR,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,200,3,10,0.0,10.0,
dj38,P2_SampEn_EMA,P2_sweep,SampEn,EMA,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,202,4,15,0.0,15.0,
dj38,P2_SampEn_PI,P2_sweep,SampEn,PI,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,242,4,20,0.0,20.0,
dj38,P2_SampEn_CDPID,P2_sweep,SampEn,CDPID,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,206,8,15,0.0,15.0,
dj38,P2_SampEn_BB_invert,P2_sweep,SampEn,BB_invert,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,200,2,11,0.0,11.0,
dj38,P2_CUSUM_BB,P2_sweep,CUSUM,BB,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,288,4,0,0.0,0.0,
dj38,P2_CUSUM_ADSR,P2_sweep,CUSUM,ADSR,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,271,5,0,0.0,0.0,
dj38,P2_CUSUM_EMA,P2_sweep,CUSUM,EMA,"2opt,oropt1,oropt2,oropt3,double_bridge",1,fixed,64,0.25,0.75,nearest-neighbor,improve-only,6656,6656,0.0,0.8,284,5,5,0.0,5.0,
